PSPID,PlotMeas,SpeciesCode,Location,Exclude,Status,Age,Stocking,MDH,BA,TSV
PSP-001,PSP-001 6,EP,Ngaroraf,FALSE,Closed,0.5,1160,3.19,0,0
PSP-001,PSP-001 12,EP,Ngaroraf,FALSE,Closed,1,1160,4.84,1.124407427,1.9591675
PSP-001,PSP-001 18,EP,Ngaroraf,FALSE,Closed,1.5,1160,7.35,2.77374357,7.339325486
PSP-001,PSP-001 24,EP,Ngaroraf,FALSE,Closed,2,520,10.56,2.806353302,10.66863271
PSP-001,PSP-001 36,EP,Ngaroraf,FALSE,Closed,3.39,520,18.25,7.640636077,50.19897903
PSP-001,PSP-001 48,EP,Ngaroraf,FALSE,Closed,3.99,520,18.25,7.557383872,49.65201204
PSP-002,PSP-002 6,EP,Ngaroraf,FALSE,Open,0.5,1160,4.185,0,0
PSP-002,PSP-002 12,EP,Ngaroraf,FALSE,Open,1,1160,8.35,3.340801044,10.04244794
PSP-002,PSP-002 18,EP,Ngaroraf,FALSE,Open,1.51,1160,10.15,6.91850959,25.28023404
PSP-002,PSP-002 24,EP,Ngaroraf,FALSE,Open,2,1040,15.05,8.987154104,48.69240094
PSP-002,PSP-002 36,EP,Ngaroraf,FALSE,Open,3.18,1040,20.85,14.14957623,106.2067192
PSP-002,PSP-002 48,EP,Ngaroraf,FALSE,Open,3.99,1000,22.85,16.76011406,137.8686983
PSP-003,PSP-003 12,EP,Clear Wara,FALSE,Closed,1.02,920,3.54,0.20769069,0.264681016
PSP-004,PSP-004 12,EP,Clear Wara,TRUE,Closed,1,880,4.99,0.858283113,1.541819784
PSP-005,PSP-005 6,EP,Ganef ,TRUE,Closed,0.46,1288.888889,2.5,0,0
PSP-005,PSP-005 12,EP,Ganef ,TRUE,Closed,0.99,1288.888889,6.125,2.357800193,5.198949426
PSP-005,PSP-005 18,EP,Ganef ,TRUE,Closed,1.5,1244.444444,8.025,4.263629923,12.31762685
PSP-005,PSP-005 24,EP,Ganef ,TRUE,Closed,1.98,1244.444444,10.8,7.83991428,30.48158672
PSP-005,PSP-005 36,EP,Ganef ,TRUE,Closed,3.15,1022.222222,16.1,11.15073406,64.6296546
PSP-005,PSP-005 48,EP,Ganef ,TRUE,Closed,3.95,533.3333333,16.95,6.734318012,41.09280851
PSP-006,PSP-006 6,EP,Ganef ,FALSE,Closed,0.99,1333.333333,2.15,0,0
PSP-006,PSP-006 12,EP,Ganef ,FALSE,Closed,0.99,1288.888889,5.65,1.662356299,3.381232713
PSP-006,PSP-006 18,EP,Ganef ,FALSE,Closed,1.5,1022.222222,5.8,2.78673231,5.818697063
PSP-006,PSP-006 24,EP,Ganef ,FALSE,Closed,1.95,1022.222222,10.35,5.416594427,20.18223083
PSP-006,PSP-006 36,EP,Ganef ,FALSE,Closed,3.14,1200,18.3,14.57520968,96.02148135
PSP-006,PSP-006 48,EP,Ganef ,FALSE,Closed,3.95,977.7777778,21.7,13.31103279,103.9857882
PSP-007,PSP-007 6,EP,Momen,FALSE,Closed,0.5,1160,2.21,0,0
PSP-007,PSP-007 12,EP,Momen,FALSE,Closed,1.01,1160,5.625,2.01577151,4.081937308
